OTU,SITE,Type,Abundance,Class,Order,Family,Genus,Species
ASV28,JER,PT,0.05386594, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Potamolinea,Potamolinea sp.
ASV28,JER,CL,0.039781203, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Potamolinea,Potamolinea sp.
ASV28,JER,MO,0.02575263, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Potamolinea,Potamolinea sp.
ASV28,VOL,DA,0.049752125, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Potamolinea,Potamolinea sp.
ASV28,VOL,LA,0.043063173, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Potamolinea,Potamolinea sp.
ASV28,VOL,CL,0.03612013, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Potamolinea,Potamolinea sp.
ASV28,VOL,PT,0.014610069, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Potamolinea,Potamolinea sp.
ASV312,JER,CL,0.017901542, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV312,JER,PT,0.014676956, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV32,AMT,CL,0.149593496, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV32,AMT,PT,0.125863221, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV32,AMT,LA,0.125500949, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV32,AMT,DA,0.121907778, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV32,AMT,MO,0.101997897, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV32,JER,CL,0.189292226, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV32,JER,DA,0.16882622, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV32,JER,MO,0.16177004, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV32,JER,PT,0.153275836, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV32,JER,LA,0.15003457, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV32,VOL,PT,0.091806515, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV32,VOL,CL,0.06838474, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV32,VOL,MO,0.042368421, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV32,VOL,DA,0.03842068, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV32,VOL,LA,0.033719277, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV326,VOL,CL,0.032873377, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV326,VOL,MO,0.031052632, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV326,VOL,PT,0.029417572, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV326,VOL,LA,0.020719074, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV326,VOL,DA,0.019652975, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV334,WHS,CL,0.030953364, Cyanobacteriia,Synechococcales,Oculatellaceae,Trichotorquatus,Trichotorquatus sp.
ASV334,WHS,PT,0.018417748, Cyanobacteriia,Synechococcales,Oculatellaceae,Trichotorquatus,Trichotorquatus sp.
ASV334,WHS,MO,0.012758061, Cyanobacteriia,Synechococcales,Oculatellaceae,Trichotorquatus,Trichotorquatus sp.
ASV334,WHS,LA,0.010692805, Cyanobacteriia,Synechococcales,Oculatellaceae,Trichotorquatus,Trichotorquatus sp.
ASV361,JER,CL,0.013260401, Cyanobacteriia,Nostocales,Scytonemataceae,Scytonema, Scytonema_hyalinum
ASV361,JER,LA,0.012445264, Cyanobacteriia,Nostocales,Scytonemataceae,Scytonema, Scytonema_hyalinum
ASV361,JER,PT,0.011650779, Cyanobacteriia,Nostocales,Scytonemataceae,Scytonema, Scytonema_hyalinum
ASV361,JER,MO,0.010700036, Cyanobacteriia,Nostocales,Scytonemataceae,Scytonema, Scytonema_hyalinum
ASV381,AMT,MO,0.011829653, Cyanobacteriia,Unclassified coocoid order,unclassified coccoid cyanobacterium,unclassified coccoid cyanobacterium,unclassified coccoid cyanobacterium
ASV381,JER,MO,0.017410229, Cyanobacteriia,Unclassified coocoid order,unclassified coccoid cyanobacterium,unclassified coccoid cyanobacterium,unclassified coccoid cyanobacterium
ASV381,JER,DA,0.011242378, Cyanobacteriia,Unclassified coocoid order,unclassified coccoid cyanobacterium,unclassified coccoid cyanobacterium,unclassified coccoid cyanobacterium
ASV381,VOL,MO,0.012894737, Cyanobacteriia,Unclassified coocoid order,unclassified coccoid cyanobacterium,unclassified coccoid cyanobacterium,unclassified coccoid cyanobacterium
ASV41,VOL,MO,0.085526316, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV41,VOL,LA,0.061954093, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
